,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3
75,143.98,142.46363721987169,-1.0,-1.0,1001400.0,-1.0,0.0,1002610.0,-1.0,-1.0,1013800.0
76,145.25,143.71001220010564,-1.0,-1.0,1001310.0,-1.0,0.0,1002610.0,-1.0,-1.0,1014715.0
77,145.5,144.18575463429067,-1.0,-1.0,1000805.0,-1.0,0.0,1002610.0,-1.0,-1.0,1015255.0
78,146.56,145.52792651417383,-1.0,-1.0,1000795.0,-1.0,0.0,1002610.0,-1.0,-1.0,1015290.0
79,146.99,146.83633688390304,-1.0,-1.0,999420.0,-1.0,0.0,1002610.0,-1.0,-1.0,1016870.0
80,149.74,147.79129018871822,-1.0,-1.0,999065.0,-1.0,0.0,1002610.0,-1.0,-1.0,1017225.0
81,150.85,149.7971490728833,-1.0,-1.0,998170.0,-1.0,0.0,1002610.0,-1.0,-1.0,1018320.0
82,152.79,150.62416314271653,-1.0,-1.0,998240.0,-1.0,0.0,1002610.0,-1.0,-1.0,1018325.0
83,152.65,152.65146599344504,1.0,1.0,995920.0,1.0,1.0,1000290.0,-1.0,-1.0,1016005.0
84,149.49,151.551218345262,1.0,1.0,996550.0,1.0,0.0,1000290.0,-1.0,-1.0,1017375.0
85,150.85,150.82306957750365,-1.0,-1.0,996900.0,-1.0,-1.0,1000640.0,-1.0,-1.0,1017075.0
86,150.57,150.3523297640211,-1.0,-1.0,996660.0,-1.0,0.0,1000640.0,-1.0,-1.0,1017525.0
87,151.15,151.3801908099647,1.0,1.0,996160.0,1.0,1.0,1000140.0,-1.0,-1.0,1017075.0
88,150.45,150.43108301987306,-1.0,-1.0,995775.0,-1.0,-1.0,999755.0,-1.0,-1.0,1017610.0
89,151.34,151.4380308426662,1.0,1.0,995105.0,1.0,1.0,999085.0,-1.0,-1.0,1017000.0
90,149.99,151.39391316156988,1.0,1.0,995265.0,1.0,0.0,999085.0,-1.0,-1.0,1017155.0
91,150.7,150.18056750008904,-1.0,-1.0,995600.0,-1.0,-1.0,999420.0,-1.0,-1.0,1017015.0
92,150.68,150.47256028573494,-1.0,-1.0,996380.0,-1.0,0.0,999420.0,-1.0,-1.0,1016560.0
93,148.81,150.30948591031492,1.0,1.0,994725.0,1.0,1.0,997765.0,-1.0,-1.0,1014750.0
94,144.7,149.31273604051873,1.0,1.0,996450.0,1.0,0.0,997765.0,-1.0,-1.0,1016075.0
95,148.5,149.0993348430476,1.0,1.0,996135.0,1.0,0.0,997765.0,-1.0,-1.0,1015935.0
96,148.25,148.29281329626116,1.0,1.0,996010.0,1.0,0.0,997765.0,-1.0,-1.0,1016000.0
97,148.52,148.01727945908758,-1.0,-1.0,996250.0,-1.0,-1.0,998005.0,-1.0,-1.0,1016020.0
98,148.1,148.16244463810335,1.0,1.0,997225.0,1.0,1.0,998980.0,-1.0,-1.0,1017025.0
99,150.25,148.83142657741112,-1.0,-1.0,996375.0,-1.0,-1.0,998130.0,-1.0,-1.0,1017975.0
100,151.95,150.4314882949007,-1.0,-1.0,996290.0,-1.0,0.0,998130.0,-1.0,-1.0,1018060.0
101,152.25,152.06524306468015,-1.0,-1.0,996240.0,-1.0,0.0,998130.0,-1.0,-1.0,1018175.0
102,152.5,152.23966697351628,-1.0,-1.0,996695.0,-1.0,0.0,998130.0,-1.0,-1.0,1017795.0
103,152.0,152.06064428450614,1.0,1.0,996445.0,1.0,1.0,997880.0,-1.0,-1.0,1017750.0
104,151.67,151.76256068813447,1.0,1.0,997385.0,1.0,0.0,997880.0,-1.0,-1.0,1018775.0
105,153.7,152.704307078334,-1.0,-1.0,997460.0,-1.0,-1.0,997955.0,-1.0,-1.0,1018775.0
106,153.69,153.7098572125327,1.0,1.0,997140.0,1.0,1.0,997635.0,-1.0,-1.0,1018525.0
107,153.35,153.6486471627093,1.0,1.0,997065.0,1.0,0.0,997635.0,-1.0,-1.0,1018600.0
108,153.59,153.32786546359262,-1.0,-1.0,996590.0,-1.0,-1.0,997160.0,-1.0,-1.0,1019270.0
109,154.5,153.76727039940903,-1.0,-1.0,998990.0,-1.0,0.0,997160.0,-1.0,-1.0,1016850.0
110,148.4,153.7162063807517,1.0,1.0,999190.0,1.0,1.0,997360.0,-1.0,-1.0,1016400.0
111,148.82,150.13157376845186,1.0,1.0,1000265.0,1.0,0.0,997360.0,-1.0,-1.0,1017485.0
112,151.36,151.7634732872824,1.0,1.0,999385.0,1.0,0.0,997360.0,-1.0,-1.0,1016800.0
113,148.05,146.95701163408975,-1.0,-1.0,998510.0,-1.0,-1.0,996485.0,-1.0,-1.0,1016900.0
114,149.64,149.71468021695642,1.0,1.0,999140.0,1.0,1.0,997115.0,-1.0,-1.0,1017450.0
115,151.0,151.08684225994696,1.0,1.0,1000130.0,1.0,0.0,997115.0,-1.0,-1.0,1018490.0
116,153.16,151.07209367495724,-1.0,-1.0,1000600.0,-1.0,-1.0,997585.0,-1.0,-1.0,1018110.0
117,151.9,152.16613741958597,1.0,1.0,1001560.0,1.0,1.0,998545.0,-1.0,-1.0,1018910.0
118,153.92,153.7763083045788,-1.0,-1.0,1001780.0,-1.0,-1.0,998765.0,-1.0,-1.0,1018740.0
119,153.47,153.57101163438304,1.0,1.0,1002595.0,1.0,1.0,999580.0,-1.0,-1.0,1019550.0
120,155.54,154.35992733887034,-1.0,-1.0,1003485.0,-1.0,-1.0,1000470.0,-1.0,-1.0,1018880.0
121,153.66,153.28233050436958,-1.0,-1.0,1005050.0,-1.0,0.0,1000470.0,-1.0,-1.0,1017265.0
122,150.2,153.85003390162584,1.0,1.0,1006740.0,1.0,1.0,1002160.0,-1.0,-1.0,1018790.0
123,153.4,153.44608163770044,1.0,1.0,1005540.0,1.0,0.0,1002160.0,-1.0,-1.0,1017500.0
124,150.88,150.06759844628414,-1.0,-1.0,1005550.0,-1.0,-1.0,1002170.0,-1.0,-1.0,1017430.0
125,151.25,151.02778552858192,-1.0,-1.0,1006960.0,-1.0,0.0,1002170.0,-1.0,-1.0,1016215.0
126,148.3,150.91520272424546,1.0,1.0,1007990.0,1.0,1.0,1003200.0,-1.0,-1.0,1017180.0
127,150.36,151.0801067815975,1.0,1.0,1007220.0,1.0,0.0,1003200.0,-1.0,-1.0,1016410.0
128,148.5,147.88440658683655,-1.0,-1.0,1005730.0,-1.0,-1.0,1001710.0,-1.0,-1.0,1017740.0
129,152.0,150.3006429029775,-1.0,-1.0,1004970.0,-1.0,0.0,1001710.0,-1.0,-1.0,1018760.0
130,153.6,151.6873270016955,-1.0,-1.0,1004170.0,-1.0,0.0,1001710.0,-1.0,-1.0,1019600.0
131,155.48,153.66593697426774,-1.0,-1.0,1002455.0,-1.0,0.0,1001710.0,-1.0,-1.0,1021455.0
132,158.95,155.27390517042986,-1.0,-1.0,1002315.0,-1.0,0.0,1001710.0,-1.0,-1.0,1021615.0
133,159.3,159.09238064467772,-1.0,-1.0,1001915.0,-1.0,0.0,1001710.0,-1.0,-1.0,1022050.0
134,160.03,159.31788219186276,-1.0,-1.0,1001745.0,-1.0,0.0,1001710.0,-1.0,-1.0,1022185.0
135,160.55,160.27926344441605,-1.0,-1.0,1000545.0,-1.0,0.0,1001710.0,-1.0,-1.0,1023475.0
136,163.3,161.66319143137432,-1.0,-1.0,999950.0,-1.0,0.0,1001710.0,-1.0,-1.0,1024245.0
137,164.5,163.02439370957077,-1.0,-1.0,999955.0,-1.0,0.0,1001710.0,-1.0,-1.0,1024245.0
138,164.75,164.71865658890195,-1.0,-1.0,1000090.0,-1.0,0.0,1001710.0,-1.0,-1.0,1024240.0
139,164.43,164.58035924849074,1.0,1.0,1000470.0,1.0,1.0,1002090.0,-1.0,-1.0,1024595.0
140,165.25,164.57054014822356,-1.0,-1.0,1000345.0,-1.0,-1.0,1001965.0,-1.0,-1.0,1024750.0
141,165.5,165.35838488333027,-1.0,-1.0,997545.0,-1.0,0.0,1001965.0,-1.0,-1.0,1027550.0
142,171.6,165.59539085989115,-1.0,-1.0,998455.0,-1.0,0.0,1001965.0,-1.0,-1.0,1026890.0
143,170.0,171.0426815509105,1.0,1.0,999695.0,1.0,1.0,1003205.0,-1.0,-1.0,1028240.0
144,172.37,172.5788122433752,1.0,1.0,997915.0,1.0,0.0,1003205.0,-1.0,-1.0,1026405.0
145,170.5,170.7852772570914,1.0,1.0,998035.0,1.0,0.0,1003205.0,-1.0,-1.0,1027370.0
146,170.35,170.8171522091019,1.0,1.0,997435.0,1.0,0.0,1003205.0,-1.0,-1.0,1026575.0
147,169.4,170.94221719843324,1.0,1.0,997035.0,1.0,0.0,1003205.0,-1.0,-1.0,1026300.0
