Date,Open,High,Low,Close,Volume,Mkt-RF,SMB,HML,RF,ADS_Index,FB
2016-07-07,117.02,117.07,115.36,115.84,153576,0.02,0.35,-0.2,0.001,0.0697773348817047,0.021655242633361924
2016-07-08,116.01,117.5,115.8,117.08,166032,1.6,0.89,0.34,0.001,0.06652477071848,-0.007310279970887092
2016-07-11,117.24,118.7,117.24,117.92,163803,0.43,0.6,0.26,0.001,0.0534569490979055,0.011926865168985385
2016-07-12,118.18,118.72,117.57,117.95,139745,0.75,0.62,0.99,0.001,0.0484834251424129,0.0053592489065794
2016-07-13,118.0,118.42,116.62,116.62,150699,-0.05,-0.53,0.51,0.001,0.0433092820525719,0.0005088804116320875
2016-07-14,117.12,117.83,116.7,117.0,134918,0.51,-0.46,0.44,0.001,0.0379338470035132,-0.009799413809597327
2016-07-15,117.12,118.28,116.39,116.41,154057,-0.05,0.3,0.0,0.001,0.0323564209951666,0.0043576947670083965
2016-07-18,116.5,119.65,116.5,119.08,192610,0.25,-0.02,-0.12,0.001,0.014276104905296,-0.003672863375750781
2016-07-19,121.1,121.1,118.66,120.89,200625,-0.22,-0.62,0.05,0.001,0.00758908816880419,0.021251292555350323
2016-07-20,121.0,122.2,120.56,122.08,182634,0.48,0.45,-0.87,0.001,0.000530748913154174,0.010334269647448721
2016-07-21,122.29,122.48,120.25,120.49,164479,-0.38,-0.05,-0.01,0.001,-0.00689983069985517,0.010802867647798623
2016-07-22,120.58,121.4,119.25,121.0,169022,0.48,0.23,-0.08,0.001,-0.0147036169130719,-0.010802867647798574
2016-07-25,121.48,121.85,117.78,121.79,168595,-0.27,-0.02,-0.24,0.001,-0.0403279284337618,0.0032283377104031273
2016-07-26,122.06,122.54,120.7,122.16,159428,0.13,0.57,0.54,0.001,-0.0495002235847716,0.005193079368636201
2016-07-27,122.65,133.76,120.0,128.93,409212,-0.14,0.58,-0.44,0.001,-0.0589529950765429,-0.0033765401927745176
2016-07-28,129.0,130.59,123.63,125.34,747216,0.18,-0.41,-0.34,0.001,-0.0686874721096663,0.017337652360064123
2016-07-29,125.32,128.93,123.5,123.56,330591,0.17,-0.02,0.04,0.001,-0.0787049205165942,0.013369000169634222
2016-08-01,123.63,124.7,122.86,124.29,234434,-0.16,0.18,-0.87,0.001,-0.110529897215813,-0.008516143631499362
2016-08-02,124.34,124.8,122.07,122.75,224872,-0.7,-0.58,0.17,0.001,-0.121598067701342,0.0029808360440119965
2016-08-03,122.8,123.92,122.31,122.5,174621,0.45,0.46,0.83,0.001,-0.132258613795379,-0.009862667089156974
2016-08-04,122.61,125.98,122.51,124.41,197985,0.05,0.08,-0.34,0.001,-0.142512921752693,-0.004723086994379585
2016-08-05,124.86,125.84,124.6,125.07,189354,0.93,0.43,0.86,0.001,-0.152362325002469,0.014987917600446725
2016-08-08,125.45,125.7,124.55,125.16,144739,-0.06,0.02,0.57,0.001,-0.179249191084555,0.00633244062688236
2016-08-09,125.63,126.09,124.53,124.88,184125,0.05,-0.02,-0.32,0.001,-0.187121684341563,0.0008785592054496269
2016-08-10,125.19,125.48,124.54,124.75,98643,-0.29,-0.45,-0.13,0.001,-0.194469991480316,-0.0015979869172277335
2016-08-11,124.98,125.39,124.75,124.95,109322,0.54,0.14,0.04,0.001,-0.201295068045279,-0.0014403539627137504
2016-08-12,125.09,125.25,124.18,124.87,112558,-0.06,0.08,-0.18,0.001,-0.207597801542106,0.0001601809602279447
2016-08-15,125.17,125.32,123.7,123.76,173724,0.39,0.73,0.39,0.001,-0.223260421692136,-0.00016018096022791324
2016-08-16,123.73,124.15,122.78,123.44,128602,-0.57,-0.27,0.61,0.001,-0.227399121747265,-0.007878447406967524
2016-08-17,123.58,124.45,122.85,124.38,127630,0.12,-0.55,0.25,0.001,-0.231056088188912,-0.004854370275948133
2016-08-18,124.4,124.65,123.64,123.94,111682,0.32,0.45,0.37,0.001,-0.234231796554365,0.008640583286023453
2016-08-19,123.95,124.2,123.19,123.54,104864,-0.11,0.12,-0.12,0.001,-0.236926659800035,-0.0037054898773264157
2016-08-22,124.3,124.83,123.11,124.15,133400,-0.02,0.26,-0.41,0.001,-0.241972776984423,-0.002828676045982942
2016-08-23,124.68,125.09,124.25,124.42,120289,0.27,0.56,-0.01,0.001,-0.242626567123462,0.0047636761998078045
2016-08-24,124.39,124.69,123.09,123.33,114370,-0.56,-0.48,0.4,0.001,-0.242836645600737,0.0017704897235015667
2016-08-25,123.17,124.37,123.1,123.93,97393,-0.08,0.19,0.48,0.001,-0.242603039734012,-0.007181793857831329
2016-08-26,124.1,125.19,123.65,124.92,165462,-0.15,0.15,-0.13,0.001,-0.241925719146115,0.0033148431265803808
2016-08-29,124.85,126.73,124.17,126.7,148084,0.53,-0.07,0.35,0.001,-0.237037664132805,0.008599611032843981
2016-08-30,126.78,126.85,125.15,125.61,166247,-0.14,0.1,0.31,0.001,-0.234562069153455,0.012564793532562709
2016-08-31,125.8,126.22,125.1,125.99,131462,-0.24,-0.39,0.14,0.001,-0.231812416937709,-0.005547244657751222
2016-09-01,125.92,126.63,125.6,126.2,126314,0.03,0.12,-0.49,0.001,-0.228788349931792,0.002222631500102886
2016-09-02,126.29,126.86,126.0,126.35,112930,0.53,0.39,0.36,0.001,-0.226030790753337,0.0003963296242916296
2016-09-06,126.6,129.94,126.35,129.7,246239,0.26,0.06,-0.53,0.001,-0.218440048002694,0.002691184147584075
2016-09-07,129.48,131.98,129.45,130.93,261913,0.09,0.61,0.03,0.001,-0.217309897172682,0.02513396451404636
2016-09-08,131.0,131.29,129.81,130.13,144008,-0.18,-0.02,0.57,0.001,-0.216540846202753,0.01012361591178957
2016-09-09,130.27,130.27,126.33,126.6,247632,-2.47,-0.55,0.31,0.001,-0.216132795088595,-0.005969702246510886
2016-09-12,126.39,128.97,125.21,128.9,195442,1.44,0.0,-0.47,0.001,-0.21677174411278,-0.02463508795516309
2016-09-13,128.69,128.69,126.66,127.2,160645,-1.48,-0.25,-0.47,0.001,-0.217307667864329,0.012432264587029397
2016-09-14,127.46,128.8,126.89,127.78,144999,-0.08,0.11,-0.83,0.001,-0.218007368062361,-0.01156717073969407
2016-09-15,127.59,129.1,127.59,128.24,138061,1.07,0.31,-0.33,0.001,-0.21887093569309,0.00439249281643921
2016-09-16,128.21,129.18,127.8,129.07,227084,-0.36,0.33,-0.46,0.001,-0.219898483051395,0.004529204940782636
2016-09-19,129.4,130.09,128.26,128.66,136140,0.05,0.4,0.16,0.001,-0.223861168686118,0.0055939930169073525
2016-09-20,129.0,129.17,128.03,128.68,102009,-0.02,-0.21,-0.51,0.001,-0.225610194451487,-0.003259454991644947
2016-09-21,129.0,130.01,128.39,129.98,132458,1.12,0.14,0.33,0.001,-0.227693377496395,-7.769443256218826e-05
2016-09-22,130.0,130.73,128.1,128.3,145796,0.7,0.85,-0.05,0.001,-0.230110988709631,0.010055023187079811
2016-09-23,128.32,130.5,126.26,128.0,268187,-0.6,-0.1,-0.19,0.001,-0.232863342467687,0.001076840330550108
2016-09-26,127.24,128.25,126.8,127.32,140164,-0.88,-0.23,-0.35,0.001,-0.242858077073097,-0.016431953908279173
2016-09-27,127.76,129.01,127.0,128.59,147207,0.64,-0.07,-0.53,0.001,-0.246550197897392,-0.005092665902506242
2016-09-28,129.0,129.47,128.4,129.1,111899,0.56,0.21,1.1,0.001,-0.250450595395176,0.010781385682927563
2016-09-29,129.32,129.5,127.55,128.1,134418,-0.98,-0.42,0.54,0.001,-0.254559776758537,0.004187304537737865
2016-09-30,127.9,128.59,127.45,128.3,174764,0.88,0.38,0.35,0.001,-0.258878276328981,-0.008860620969532744
2016-10-03,128.27,129.09,127.8,128.88,121588,-0.26,-0.03,-0.13,0.001,-0.272586356849443,0.0014043378809782095
2016-10-04,129.0,129.28,127.54,128.18,132257,-0.46,0.04,0.09,0.001,-0.276901578880347,0.003890449852848086
2016-10-05,128.35,128.8,127.83,128.22,115642,0.58,0.28,0.78,0.001,-0.281061489935449,-0.004514344422943703
2016-10-06,128.53,129.06,128.08,128.54,109353,-0.06,-0.27,0.37,0.001,-0.285066630952942,0.002181867901552472
2016-10-07,128.69,129.25,128.33,128.98,120319,-0.38,-0.51,0.16,0.001,-0.288917522745341,0.002099483635000315
2016-10-10,129.35,130.7,128.99,130.29,138174,0.52,0.57,0.01,0.001,-0.299468551028468,0.0019400152773017408
2016-10-11,130.24,130.64,128.23,128.99,158826,-1.3,-0.59,0.49,0.001,-0.302151344635348,0.009644019905153962
2016-10-12,129.05,129.66,128.46,129.05,101857,0.06,-0.23,0.37,0.001,-0.304207271360667,-0.010497162980395514
2016-10-13,128.45,129.35,126.75,127.74,158409,-0.42,-0.68,-0.63,0.001,-0.305636598548912,0.0013181717469288147
2016-10-14,127.7,128.95,127.51,127.62,119140,0.01,-0.36,0.57,0.001,-0.306439512064072,-0.00957692518929049
2016-10-17,127.88,128.47,127.32,127.93,98782,-0.29,-0.05,0.14,0.001,-0.305484187333699,0.00046927651001149855
2016-10-18,128.51,129.39,127.95,128.59,122878,0.6,-0.16,0.03,0.001,-0.304970072459309,-0.0026622520043442033
2016-10-19,128.5,130.47,128.45,130.06,156511,0.25,0.04,0.91,0.001,-0.304624022786425,0.008043508813402515
2016-10-20,130.25,130.66,129.5,130.11,121512,-0.16,-0.03,-0.11,0.001,-0.30444599331613,0.011906696659983618
2016-10-21,130.27,132.19,129.59,132.19,180298,0.02,-0.12,-0.32,0.001,-0.304435960898186,-0.0008458037456065507
2016-10-24,133.05,133.41,132.07,133.33,155672,0.54,0.06,-0.16,0.001,-0.305013156492672,0.0157976876023251
2016-10-25,133.5,133.84,131.67,131.97,122601,-0.46,-0.58,0.23,0.001,-0.304707589734795,0.009120032857624024
2016-10-26,132.0,132.39,130.93,131.28,121091,-0.23,-0.85,0.74,0.001,-0.304003163838229,-0.007455741355296466
2016-10-27,131.79,131.86,128.5,130.4,156460,-0.33,-0.96,0.6,0.001,-0.302899787202249,-0.009493862874280416
2016-10-28,130.19,132.97,129.59,131.36,231519,-0.29,-0.1,0.1,0.001,-0.301397316348172,-0.010355563916915132
2016-10-31,131.85,132.2,130.88,131.19,144486,0.02,0.02,0.14,0.001,-0.29465922963991,0.01226156085989388
2016-11-01,131.35,132.04,128.65,129.5,201900,-0.68,-0.35,0.17,0.001,-0.292525558039951,-0.002287541048523852
2016-11-02,129.32,130.44,116.31,118.21,472008,-0.73,-0.66,0.35,0.001,-0.290886568459186,-0.011440141440817108
2016-11-03,118.5,129.49,118.16,119.8,591940,-0.4,-0.47,1.02,0.001,-0.288997428482589,-0.01815612283391669
2016-11-04,120.01,121.93,119.25,120.67,283454,-0.12,0.86,-0.43,0.001,-0.286857892453953,-0.05803301552362971
2016-11-07,122.75,123.21,121.35,121.9,209174,2.23,0.2,-0.16,0.001,-0.278298544312888,0.006230549750636163
2016-11-08,122.33,124.61,121.54,124.5,179643,0.4,-0.08,-0.19,0.001,-0.274500581488802,0.011527521544378859
2016-11-09,120.56,123.81,120.16,123.1,292575,1.46,1.83,0.99,0.001,-0.270432104432913,0.016804381104329417
2016-11-10,124.0,124.9,115.27,120.96,631179,0.32,1.14,1.8,0.001,-0.266092584096738,-0.008407494922493045
2016-11-11,120.52,120.78,118.15,119.07,307428,0.18,2.5,-0.04,0.001,-0.261481456186413,-0.019510389923745892
2016-11-14,119.06,119.48,113.55,114.96,473138,0.21,0.58,1.43,0.001,-0.245395068333741,-0.014844789324293395
